route_id;service_id;trip_id;trip_headsign;trip_short_name;direction_id;block_id;shape_id;wheelchair_accessible;bikes_allowed
1;16401;19477440;1 SPRING GARDEN TO BRIDGE TERM;;1;28591;11921;0;0
1;16501;19480758;1 SPRING GARDEN TO BRIDGE TERM;;1;28591;11921;0;0
1;16501;19480759;1 SPRING GARDEN TO BRIDGE TERM;;1;28540;11921;0;0
1;16401;19477441;1 SPRING GARDEN TO BRIDGE TERM;;1;28540;11921;0;0
1;16401;19477442;1 SPRING GARDEN TO BRIDGE TERM;;1;28562;11921;0;0
1;16501;19480760;1 SPRING GARDEN TO BRIDGE TERM;;1;28562;11921;0;0
1;16401;19477443;1 SPRING GARDEN TO BRIDGE TERM;;1;28599;11921;0;0
1;16501;19480761;1 SPRING GARDEN TO BRIDGE TERM;;1;28599;11921;0;0
1;16501;19480762;1 SPRING GARDEN TO BRIDGE TERM;;1;28546;11921;0;0
1;16401;19477444;1 SPRING GARDEN TO BRIDGE TERM;;1;28546;11921;0;0
1;16501;19480763;1 SPRING GARDEN TO BRIDGE TERM;;1;28576;11921;0;0
1;16401;19477445;1 SPRING GARDEN TO BRIDGE TERM;;1;28577;11921;0;0
1;16401;19477446;1 SPRING GARDEN TO BRIDGE TERM;;1;28591;11921;0;0
1;16501;19480764;1 SPRING GARDEN TO BRIDGE TERM;;1;28591;11921;0;0
1;16501;19480765;1 SPRING GARDEN TO BRIDGE TERM;;1;28540;11921;0;0
1;16401;19477447;1 SPRING GARDEN TO BRIDGE TERM;;1;28540;11921;0;0
1;16401;19477448;1 SPRING GARDEN TO BRIDGE TERM;;1;28562;11921;0;0
1;16501;19480766;1 SPRING GARDEN TO BRIDGE TERM;;1;28562;11921;0;0
1;16401;19477449;1 SPRING GARDEN TO BRIDGE TERM;;1;28599;11921;0;0
1;16501;19480767;1 SPRING GARDEN TO BRIDGE TERM;;1;28599;11921;0;0
1;16501;19480768;1 SPRING GARDEN TO BRIDGE TERM;;1;28546;11921;0;0
1;16401;19477450;1 SPRING GARDEN TO BRIDGE TERM;;1;28546;11921;0;0
1;16501;19480769;1 SPRING GARDEN TO BRIDGE TERM;;1;28576;11921;0;0
1;16401;19477451;1 SPRING GARDEN TO BRIDGE TERM;;1;28577;11921;0;0
1;16401;19477452;1 SPRING GARDEN TO BRIDGE TERM;;1;28591;11921;0;0
1;16501;19480770;1 SPRING GARDEN TO BRIDGE TERM;;1;28591;11921;0;0
1;16501;19480771;1 SPRING GARDEN TO BRIDGE TERM;;1;28540;11921;0;0
1;16401;19477453;1 SPRING GARDEN TO BRIDGE TERM;;1;28540;11921;0;0
1;16401;19477454;1 SPRING GARDEN TO BRIDGE TERM;;1;28562;11921;0;0
1;16501;19480772;1 SPRING GARDEN TO BRIDGE TERM;;1;28562;11921;0;0
1;16401;19477455;1 SPRING GARDEN TO BRIDGE TERM;;1;28599;11921;0;0
1;16501;19480773;1 SPRING GARDEN TO BRIDGE TERM;;1;28599;11921;0;0
1;16501;19480774;1 SPRING GARDEN TO BRIDGE TERM;;1;28546;11921;0;0
1;16401;19477456;1 SPRING GARDEN TO BRIDGE TERM;;1;28546;11921;0;0
1;16501;19480775;1 SPRING GARDEN TO BRIDGE TERM;;1;28576;11921;0;0
1;16401;19477457;1 SPRING GARDEN TO BRIDGE TERM;;1;28577;11921;0;0
